run_name,exp_name,seed,task,block_size,length_tier,best_step,best_val_loss,best_val_ppl,best_masked_loss,best_masked_ppl,best_masked_acc,best_masked_loss_pos0,best_masked_loss_pos1,best_masked_loss_pos2,best_masked_loss_pos3,best_masked_loss_pos4,final_tokens_per_s,final_peak_mem_mb,n_parameters,wall_clock_s,n_eval_events,git_sha
mingru_induction_long__seed42__20260523-200833,mingru_induction_long,42,induction,,long,8000,3.2958598649825785,27.000619888305664,3.2953871154785155,26.987857818603516,0.035,3.2953871154785155,nan,nan,nan,nan,1728031.3,5830.1,794112,1450.53,80,(no git)
mingru_induction_medium__seed42__20260523-200137,mingru_induction_medium,42,induction,,medium,1000,3.2960289578239608,27.005184173583984,3.295330780029297,26.986339569091797,0.039,3.295330780029297,nan,nan,nan,nan,1231737.9,1246.6,794112,412.26,80,(no git)
mingru_induction_short__seed42__20260523-195503,mingru_induction_short,42,induction,,short,750,3.2958556479357797,27.00050926208496,3.2904572448730467,26.855140686035156,0.046,3.2904572448730467,nan,nan,nan,nan,310432.8,388.1,794112,391.23,80,(no git)
mingru_longcopy_long__seed42__20260523-194855,mingru_longcopy_long,42,longrange_copy,,long,2750,3.2325922090729784,25.34527015686035,3.2608896850585936,26.072725296020508,0.0404,3.2612261047363282,3.2597918243408204,3.259223693847656,3.261566848754883,3.2626397857666016,1834097.4,5924.1,797696,363.06,20,(no git)
mingru_longcopy_medium__seed42__20260523-194627,mingru_longcopy_medium,42,longrange_copy,,medium,1000,3.157083525686553,23.501953125,3.26389384765625,26.151166915893555,0.0376,3.265040756225586,3.2640963592529295,3.2664723205566406,3.263117660522461,3.2607421569824218,1411671.7,1594.7,797696,144.66,20,(no git)
mingru_longcopy_short__seed42__20260523-194437,mingru_longcopy_short,42,longrange_copy,,short,1250,2.812220512390137,16.64684295654297,3.2660173217773436,26.20676040649414,0.0404,3.2655889129638673,3.265340072631836,3.2648251342773436,3.268276870727539,3.266055953979492,299721.4,441.5,797696,107.15,20,(no git)
mingru_tinyshakespeare_1024__seed42__20260523-193614,mingru_tinyshakespeare_1024,42,tinyshakespeare,1024,,5000,1.4676216266773365,4.338903427124023,nan,nan,nan,nan,nan,nan,nan,nan,1904459.4,3007.2,798976,173.0,20,(no git)
mingru_tinyshakespeare_2048__seed42__20260523-193909,mingru_tinyshakespeare_2048,42,tinyshakespeare,2048,,4500,1.462926087556062,4.318577289581299,nan,nan,nan,nan,nan,nan,nan,nan,2028060.8,5940.1,798976,323.48,20,(no git)
mingru_tinyshakespeare_256__seed42__20260523-193449,mingru_tinyshakespeare_256,42,tinyshakespeare,256,,4750,1.4908292748462195,4.440776348114014,nan,nan,nan,nan,nan,nan,nan,nan,1027111.7,808.1,798976,81.45,20,(no git)
